# 法務ドメイン スロット定義 — 書式: <slotName>\t<正規表現>
# キャプチャグループ(...)があれば group(1)、なければマッチ全体が値。

# 契約ID: C-YYYY-NNN 形式
contractId	(C-?\d{3,}(?:-\d+)?)
# 取引先名: 株式会社・有限会社・合同会社プレフィックス、またはサフィックス
counterparty	((?:株式会社|合同会社|有限会社|合名会社|合資会社)[0-9A-Za-z\p{IsHan}\p{IsKatakana}ー]{1,12}|[0-9A-Za-z\p{IsHan}\p{IsKatakana}ー]{1,12}(?:株式会社|合同会社|有限会社))
# 日付: yyyy/mm/dd または yyyy-mm-dd
date	(\d{4}[/-]\d{1,2}[/-]\d{1,2})
# 金額: 数字+円
amount	([0-9,]+)\s*円
# 案件番号: 案件NNN または CASE-NNN 形式
caseNumber	(CASE-?\d+(?:-\d+)*|案件\s*\d+)
# 文書種別: 法務主要ドキュメントタイプ
documentType	(NDA|業務委託|秘密保持|売買|ライセンス|請負|保守|SaaS利用|データ処理)
# 法域・規制名: 主要法令・規制
regulation	(GDPR|個人情報保護法|景品表示法|独占禁止法|下請法|輸出管理|インサイダー)
# 期間: N年間/Nヶ月間
period	(\d+)\s*(?:年間|ヶ月間|か月間)
