# 在庫管理ドメイン スロット定義 — 書式: <slotName>\t<正規表現>
# キャプチャグループ(...)があれば group(1)、なければマッチ全体が値。

# SKU: 商品コード (例: SKU-10234, ABC-001, XYZ-555)
sku	([A-Z]{2,4}-?\d{3,})
# 数量: 数字+個 (例: 50個, 200 個)
quantity	(\d+)\s*個
# 倉庫名 (例: 東京倉庫, 大阪倉庫, センター倉庫)
warehouse	([\p{IsHan}\p{IsKatakana}ー]{2,8}倉庫)
# ロット番号 (例: LOT-20240501, LOT-A12345)
lotNo	(LOT-?[A-Za-z0-9]+)
# ロケーション棚番号 (例: A3-045, B1-012)
location	([A-Z]\d{1,2}-\d{1,3})
# 日付 (例: 2024/12/31, 2024-01-15)
date	(\d{4}[/-]\d{1,2}[/-]\d{1,2})
# 注文ID (例: 注文1234, 注文番号5678)
orderId	注文\s*(?:番号)?\s*(\d{4,})
# 品番 (例: DEF-099, MNO-120) — SKUより広いフォールバック
itemCode	品番\s*([A-Za-z]{2,5}-?\d{2,})
